company,BIZ_NO,mean
한일가스산업,1138111739,14.568493150684931
엠피아이,2078132193,49.72583649315068
도영운수,1318167565,48.33125323287671
중원산업,5048128251,44.5409442739726
카타나골프,1098164260,31.84731536986302
센트로,2148612093,23.985521041095893
엄앤드이종합건축사사무소,2068148256,24.318801123287678
세풍폴리머,1078156099,15.690197315068492
제일산업,6218111642,51.15499095890411
한국대풍,5148140835,7.273972602739726
만복철강,1218138743,14.753424657534246
유피에스에스씨에스코리아,1058168570,1.274568082191781
제이에스엠인터내셔날,6018127311,11.956164383561644
코팅코리아,1248174864,21.66849301369863
대중교통,6088102330,41.17148098630137
대갑산업,2108101852,36.77982416438356
티센크루프머티리얼코리아,1138131623,3.2363013698630136
동양이화,1268108962,14.754564191780824
아방,2188110812,41.610593095890415
아메코,6098119101,6.349824356164383
아성테크노,1068169683,19.018676849315067
세기건설,6168100459,28.211288904109583
아이.씨.씨.,1348183899,20.22367789041096
산호목재상사,6088126220,1.0567514520547945
에이앤씨엠,3078107276,7.144915726027397
고려통상,2018132031,35.19569005479452
바이켐,1348103880,32.15105139726027
다은비,6178134781,37.05379671232876
엘브스,2148737602,48.00751805479453
서경산업개발,2128125054,34.74638539726027
전방텍스타일,1098129813,52.48430038356164
청룡수산,6168110879,4.169065479452055
기경산업,1218144395,15.856164383561644
스마트전자,6208110636,52.06671484931507
신길운수,1178102514,14.112328767123287
보광,6058109450,36.07305465753424
대양산업개발,4128117284,13.069633643835616
서경에너지,1268146326,14.806694684931506
태정기공,1308168260,14.55479320547945
호진산업기연,2208131391,47.72535986301371
재영아이텍,1318160276,7.339580438356164
현대로오텍,4098167906,10.67548205479452
파마킹,1298107322,17.484125698630137
윤지양행,1248122065,14.48140693150685
동우당제약,5028163816,19.07743487671233
선영,1348120822,28.797397397260276
태정산업,1378115269,6.068905616438356
동원아이엔씨,1108118320,12.302827698630136
단암엔지니어링,1018157125,11.87945205479452
마하니트,1198118308,55.01780761643836
부경엔지니어링,4188117851,33.62360969863013
동신운수,2248100022,23.92212961643836
신성염직,1348100753,36.85526589041096
엠투엠코리아,1288165616,2.5967834794520552
일륭금속,2188108903,5.707760876712328
보명하이텍,2148177728,4.739726027397261
우리개발,3128150227,53.87366372602739
함라,3138105915,14.423439232876714
엘리종합건설,1358145239,40.13406717808219
파고다타워종로,2118695038,36.88703082191781
한빛인포텍,2158619181,52.02935216438356
대동정밀,6098126242,31.47031698630137
나이스팜,1108164673,13.866855561643831
은성테크닉스,1348103444,2.191780821917808
한일정밀,6228110229,19.668141315068496
한립특수강,1138165083,22.68352323287672
가산토건,4118101343,35.53815690410959
스톨베르그앤드삼일,5068104444,2.547945205479452
엘케이보험중개,6028129272,2.979451808219178
세화기업,1168107549,38.14571657534246
동남주택산업,2118127082,36.79967723287671
우주특수산업,2158130177,6.997260273972603
한빛레이저,3148120108,24.76027397260274
에이비엠,6178109190,27.897098493150686
대천유통,4088146631,5.225048465753425
대주기계,5018120018,26.79682838356165
강립실업,3148517348,36.77982416438356
엠프로미스,2068178385,25.945202821917807
엘티에스코리아,6088152863,7.698630136986301
신대한관리,1388116747,28.636415890410955
정광,5108107891,10.895724684931508
계명티아이,6158135542,52.04695731506849
에스디어드바이저,1108151969,36.82747156164383
대성공업,1248129622,39.24254194520548
호남청과,4098115408,29.44976731506849
앨트웰,2208128839,60.00091767123287
동화종합건설,1278163158,32.237438000000004
헵스켐,1338135507,6.042616273972603
대전청과,3068102415,49.31816791780823
진원,1318173000,31.4410297260274
대양해운,6168100013,2.633180246575342
대원레미콘,6208118792,20.765230547945205
보명금속,6038127020,22.240952273972603
에이프러스씨엠건축사사무소,1348157159,23.92527676712329
세일정기,1368108974,20.33623605479452
에스피씨,1138137651,4.22363701369863
에스알아이텍,1308147440,52.04795191780822
투윈스컴,2188117964,52.083269068493145
한빛종합관리,2128138660,13.23498175342466
스틸뱅크,6098156052,32.79986164383562
동해보양온천컨벤션호텔,5028142903,22.85561983561644
한공건설,6108150780,40.9909602739726
신성이노텍,1308120437,31.665926356164384
포텍,3058153167,48.84102232876712
도담에스테이트,1078164658,41.15459394520549
테라에프에이,3058162797,3.835616438356164
